run_id,case_id,pathway,framework_id,framework_name,expected,activated
technical-3297298c775d,UX-04,ict_research,belmont,Belmont Report,True,True
technical-3297298c775d,UX-04,ict_research,menlo,Menlo Report,True,True
technical-3297298c775d,UX-04,ict_research,vsd,Value Sensitive Design,True,True
technical-3297298c775d,UX-04,ict_research,esr,Ethics and Society Review,True,True
technical-3297298c775d,UX-05,ai_research,belmont,Belmont Report,True,True
technical-3297298c775d,UX-05,ai_research,menlo,Menlo Report,True,True
technical-3297298c775d,UX-05,ai_research,ai_irb_questions,AI human-subjects review questions,True,True
technical-3297298c775d,UX-05,ai_research,ai_rec_guidance,Research ethics review in the age of AI,True,True
technical-3297298c775d,UX-05,ai_research,nist_ai_rmf,NIST AI Risk Management Framework 1.0,True,True
technical-3297298c775d,UX-05,ai_research,vsd,Value Sensitive Design,True,True
technical-3297298c775d,UX-05,ai_research,esr,Ethics and Society Review,True,True
technical-3297298c775d,UX-06,human_subjects,belmont,Belmont Report,True,True
technical-3297298c775d,UX-06,human_subjects,vsd,Value Sensitive Design,True,True
technical-3297298c775d,UX-06,human_subjects,esr,Ethics and Society Review,True,True
technical-3297298c775d,UX-07,ai_research,belmont,Belmont Report,True,True
technical-3297298c775d,UX-07,ai_research,menlo,Menlo Report,True,True
technical-3297298c775d,UX-07,ai_research,ai_irb_questions,AI human-subjects review questions,True,True
technical-3297298c775d,UX-07,ai_research,ai_rec_guidance,Research ethics review in the age of AI,True,True
technical-3297298c775d,UX-07,ai_research,nist_ai_rmf,NIST AI Risk Management Framework 1.0,True,True
technical-3297298c775d,UX-07,ai_research,vsd,Value Sensitive Design,True,True
technical-3297298c775d,UX-07,ai_research,esr,Ethics and Society Review,True,True
